0000000296,scans,0000000106,DataLength
"header",0000000026,"lines"
"Date",21/11/2025,"Time",11:12:08
"ID","HAL RC RGA 201 #16119","Version",4
"Scans",6
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Faraday","mass",44.00,44.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 2","RGA","Faraday","mass",32.00,32.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 3","RGA","Faraday","mass",40.00,40.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 4","RGA","Faraday","mass",28.00,28.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 5","RGA","Faraday","mass",2.00,2.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Scan 6","RGA","Faraday","mass",26.00,26.00,0.01,100.000%,100.000%,1.000000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.0,"V"
"curtail-clipping",0,"( 1 = on, 0 = off )"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",1000.000,"uA"
"focus",-90,"V"
"mass",18.00,"amu"
"mode-change-delay",1000,"ms"
"multiplier",650,"V"
"resolution",0,"%"
"Data",6
"Time","ms","CO2","O2","Ar","CO/N2","H2","C2H2",
00:00:06,      6073,  1.33121e-09,  2.78639e-08,  2.84585e-08,  1.49209e-07,  1.06575e-10, -8.94398e-12,
00:01:00,     60823,  1.26076e-09,  3.27678e-08,  3.43999e-07,  1.81674e-07,  1.19432e-10,  1.02554e-11,
00:01:26,     86580,  1.10893e-09,  3.00267e-08,  4.96864e-07,  1.58024e-07,  1.31558e-10,  2.16074e-12,
00:01:51,    111316,  9.57823e-10,  2.59988e-08,  6.11889e-07,  1.29107e-07,  1.43243e-10,  1.99304e-11,
00:02:16,    136052,  8.54000e-10,  2.13165e-08,  6.83698e-07,  9.98673e-08,  1.25108e-10, -1.09004e-11,
00:02:50,    170639,  7.66506e-10,  1.60121e-08,  7.55293e-07,  7.06932e-08,  1.57293e-10,  5.47174e-12,
00:03:23,    203126,  7.08789e-10,  1.20433e-08,  8.03238e-07,  5.15925e-08,  1.62625e-10, -7.00898e-12,
00:03:55,    235092,  6.24273e-10,  9.08706e-09,  8.34736e-07,  3.78265e-08,  1.50704e-10, -1.47274e-12,
00:04:29,    269650,  5.65728e-10,  6.66742e-09,  8.56988e-07,  2.68125e-08,  1.69806e-10, -1.12874e-12,
00:05:03,    303667,  5.07592e-10,  4.93731e-09,  8.70856e-07,  1.94486e-08,  1.64539e-10,  1.58347e-11,
00:05:37,    337683,  4.39276e-10,  3.67527e-09,  8.79563e-07,  1.41577e-08,  1.77385e-10, -9.56748e-12,
00:06:11,    371700,  3.97738e-10,  2.82293e-09,  8.85583e-07,  1.03462e-08,  1.96294e-10,  1.28569e-11,
00:06:45,    405717,  3.63403e-10,  2.13558e-09,  8.88378e-07,  7.47526e-09,  1.97917e-10, -2.45099e-12,
00:07:19,    439604,  3.15254e-10,  1.68028e-09,  8.91603e-07,  5.60506e-09,  1.93177e-10, -1.09004e-11,
00:07:55,    475721,  2.92077e-10,  1.31829e-09,  8.92033e-07,  4.15907e-09,  2.18224e-10, -4.41824e-12,
00:08:31,    511838,  2.43723e-10,  1.04283e-09,  8.93001e-07,  3.12236e-09,  2.25599e-10, -1.64259e-11,
00:09:15,    555496,  2.15375e-10,  8.32156e-10,  8.94506e-07,  2.20256e-09,  2.32113e-10,  1.09327e-11,
00:09:58,    598143,  2.11409e-10,  6.84472e-10,  8.93001e-07,  1.65200e-09,  2.35671e-10, -3.77324e-12,
00:10:40,    640791,  2.05356e-10,  5.90055e-10,  8.93108e-07,  1.25786e-09,  2.32006e-10, -1.34374e-12,
00:11:23,    683438,  1.70161e-10,  5.11398e-10,  8.91711e-07,  1.01204e-09,  2.39627e-10, -2.11774e-12,
00:12:06,    726086,  1.50005e-10,  4.69806e-10,  8.89238e-07,  8.34714e-10,  2.48023e-10,  1.66409e-11,
00:12:58,    778485,  1.53789e-10,  4.38137e-10,  8.88056e-07,  7.21904e-10,  2.54097e-10, -7.98723e-12,
00:13:44,    824512,  1.44135e-10,  3.98792e-10,  8.87196e-07,  6.30325e-10,  2.52947e-10, -3.42924e-12,
00:14:33,    873790,  1.34450e-10,  3.80581e-10,  8.86551e-07,  6.03547e-10,  2.62880e-10, -7.12723e-12,
00:15:23,    923068,  1.45834e-10,  3.81688e-10,  8.86336e-07,  5.59504e-10,  2.60149e-10,  4.81599e-12,
00:16:12,    972346,  1.42727e-10,  3.53093e-10,  8.86228e-07,  5.42003e-10,  2.58214e-10,  8.33123e-12,
00:17:01,   1021623,  1.31214e-10,  3.68143e-10,  8.85906e-07,  5.14967e-10,  2.50958e-10, -3.48299e-12,
00:17:50,   1070901,  1.18722e-10,  3.56684e-10,  8.84938e-07,  5.16321e-10,  2.60192e-10, -6.91223e-12,
00:18:40,   1120179,  1.20862e-10,  3.34087e-10,  8.84186e-07,  4.94983e-10,  2.67760e-10,  1.09757e-11,
00:19:29,   1169457,  1.19152e-10,  3.18210e-10,  8.83541e-07,  4.86479e-10,  2.66889e-10, -1.41254e-11,
00:20:18,   1218735,  1.17959e-10,  3.18694e-10,  8.83218e-07,  4.91413e-10,  2.65696e-10,  8.55698e-12,
00:21:04,   1264762,  1.17852e-10,  3.16984e-10,  8.83433e-07,  4.74299e-10,  2.73845e-10,  3.46149e-12,
00:21:54,   1314040,  1.08058e-10,  3.20209e-10,  8.82573e-07,  4.80438e-10,  2.71899e-10, -1.31579e-11,
00:22:43,   1363318,  1.18239e-10,  3.30637e-10,  8.82573e-07,  4.93499e-10,  2.78886e-10, -8.94398e-12,
00:23:32,   1412596,  1.18142e-10,  3.18629e-10,  8.81391e-07,  4.68366e-10,  2.80166e-10,  9.83623e-12,
00:24:21,   1461874,  1.15358e-10,  3.06729e-10,  8.81498e-07,  4.87759e-10,  2.70942e-10,  9.15898e-12,
00:25:11,   1511152,  1.14659e-10,  3.08331e-10,  8.80316e-07,  4.74085e-10,  2.62933e-10, -1.28354e-11,
00:26:00,   1560430,  1.14713e-10,  3.02719e-10,  8.80638e-07,  4.69537e-10,  2.95216e-10, -3.02074e-12,
00:26:49,   1609707,  1.03930e-10,  2.86422e-10,  8.79778e-07,  4.59250e-10,  2.94549e-10,  1.51037e-11,
00:27:38,   1658985,  9.69540e-11,  2.90658e-10,  8.79456e-07,  4.59938e-10,  2.74726e-10,  8.81498e-13,
00:28:28,   1708263,  9.51051e-11,  2.90292e-10,  8.80208e-07,  4.57659e-10,  2.73404e-10, -7.05198e-12,
00:29:17,   1757541,  1.07231e-10,  2.95732e-10,  8.79563e-07,  4.72547e-10,  2.74049e-10, -3.40774e-12,
00:30:06,   1806818,  8.44841e-11,  2.94431e-10,  8.79241e-07,  4.47994e-10,  2.94205e-10,  1.13949e-12,
00:30:56,   1856097,  1.06543e-10,  2.85261e-10,  8.79133e-07,  4.56068e-10,  3.10072e-10,  5.54699e-12,
00:31:42,   1902124,  8.78381e-11,  2.92969e-10,  8.78488e-07,  4.51241e-10,  2.86734e-10, -3.49374e-12,
00:32:31,   1951402,  1.00523e-10,  2.75006e-10,  8.78488e-07,  4.75084e-10,  2.94506e-10, -1.98874e-12,
00:33:20,   2000680,  9.73303e-11,  2.78542e-10,  8.78166e-07,  4.54305e-10,  2.87712e-10,  2.12204e-11,
00:34:09,   2049957,  8.73328e-11,  2.84068e-10,  8.77951e-07,  4.45210e-10,  2.94581e-10, -1.36524e-12,
00:34:59,   2099235,  8.83863e-11,  2.76607e-10,  8.77951e-07,  4.50424e-10,  2.93162e-10, -6.53599e-12,
00:35:48,   2148513,  8.11623e-11,  2.82993e-10,  8.77843e-07,  4.41931e-10,  2.85627e-10,  9.97598e-12,
00:36:37,   2197791,  9.62231e-11,  2.81703e-10,  8.77843e-07,  4.46543e-10,  2.89228e-10,  6.19199e-12,
00:37:27,   2247068,  9.11491e-11,  2.65395e-10,  8.77736e-07,  4.50811e-10,  2.96162e-10,  2.30049e-12,
00:38:13,   2293096,  7.48413e-11,  2.65857e-10,  8.77198e-07,  4.48070e-10,  2.84455e-10, -2.90249e-13,
00:39:02,   2342373,  8.21621e-11,  2.70587e-10,  8.77736e-07,  4.48532e-10,  2.82993e-10,  7.82598e-12,
00:39:51,   2391652,  8.27641e-11,  2.69373e-10,  8.77951e-07,  4.56465e-10,  2.94184e-10, -6.22424e-12,
00:40:40,   2440929,  8.47206e-11,  2.75135e-10,  8.78166e-07,  4.43340e-10,  2.88819e-10,  4.77299e-12,
00:41:30,   2490207,  7.79158e-11,  2.56946e-10,  8.77843e-07,  4.40394e-10,  2.79650e-10,  2.33274e-12,
00:42:19,   2539485,  9.24068e-11,  2.64589e-10,  8.78166e-07,  4.56917e-10,  2.81176e-10, -2.90249e-12,
00:43:05,   2585512,  8.90206e-11,  2.70297e-10,  8.77521e-07,  4.44834e-10,  3.00268e-10, -2.39724e-12,
00:43:54,   2634790,  8.43658e-11,  2.47744e-10,  8.78058e-07,  4.44597e-10,  3.04235e-10,  1.36524e-12,
00:44:44,   2684068,  9.30303e-11,  2.52001e-10,  8.77521e-07,  4.25677e-10,  2.97118e-10,  2.20374e-12,
